symbol,company,insider_name,category,quantity,value,type,trade_date,mode,exchange
KARURVYSYA,Karur Vysya Bank Limited,M K SRINIVASAN,Promoter Group,25000.0,2522500,Buy,29-Mar-2023,Market Purchase,NSE
NAVKARCORP,Navkar Corporation Limited,Nemichand J Mehta,Promoters,550000.0,31772499,Buy,28-Mar-2023,Market Purchase,NSE
NAVKARCORP,Navkar Corporation Limited,Nemichand J Mehta,Promoters,50000.0,2472451,Buy,27-Mar-2023,Market Purchase,BSE
NAVKARCORP,Navkar Corporation Limited,Shantilal J Mehta,Promoters,432713.0,21732624,Buy,27-Mar-2023,Market Purchase,NSE
NAVKARCORP,Navkar Corporation Limited,Shantilal J Mehta,Promoters,100000.0,4729775,Buy,27-Mar-2023,Market Purchase,BSE
NAVKARCORP,Navkar Corporation Limited,Nemichand J Mehta,Promoters,250000.0,14454147,Buy,28-Mar-2023,Market Purchase,BSE
NAVKARCORP,Navkar Corporation Limited,Nemichand J Mehta,Promoters,417075.0,21535612,Buy,27-Mar-2023,Market Purchase,NSE
SHANKARA,Shankara Building Products Limited,Dhananjay Mirlay Srinivas,Promoter Group,5500.0,3420065,Buy,29-Mar-2023,Market Purchase,BSE
CREST,Crest Ventures Limited,Priyanka Finance Private Limited,Promoters,18844.0,2823483,Buy,29-Mar-2023,Market Purchase,NSE
STARCEMENT,Star Cement Limited,Sumitra Devi Agarwal,Immediate relative,10718.0,1163698,Buy,28-Mar-2023,Market Purchase,NSE
QUESS,Quess Corp Limited,Fairbridge Capital (Mauritius) Limited,Promoter Group,6600000.0,2540935980,Buy,29-Mar-2023,Market Purchase,NSE
DOLLAR,Dollar Industries Limited,V.K. Mercantile Private Limited,Promoter Group,10000.0,3347000,Buy,28-Mar-2023,Market Purchase,NSE
QUESS,Quess Corp Limited,Ajit Abraham Isaac,Promoters,65000.0,23272713,Buy,29-Mar-2023,Market Purchase,NSE
ECLERX,eClerx Services Limited,Eclerx Employee Welfare Trust,Other,2669.0,3473781,Buy,29-Mar-2023,Market Purchase,NSE
WORTH,Worth Peripherals Limited,Raminder Singh Chadha,Promoters,6719.0,575012,Buy,29-Mar-2023,Market Purchase,NSE
JAICORPLTD,Jai Corp Limited,NK Trust,Promoters,260000.0,34505225,Buy,28-Mar-2023,Market Purchase,NSE
POWERMECH,Power Mech Projects Limited,AMULYA KURRA,Immediate relative,16707.0,39877945,Buy,29-Mar-2023,Market Purchase,NSE
VERANDA,Veranda Learning Solutions Limited,Kalpathi S Suresh,Promoters,28000.0,5191317,Buy,29-Mar-2023,Market Purchase,NSE
VERANDA,Veranda Learning Solutions Limited,Kalpathi S Ganesh,Promoters,25000.0,4848025,Buy,29-Mar-2023,Market Purchase,NSE
VERANDA,Veranda Learning Solutions Limited,Kalpathi S Aghoram,Promoters,25000.0,4850967,Buy,29-Mar-2023,Market Purchase,NSE
CTE,Cambridge Technology Enterprises Limited,Anuradha Kalra,Immediate relative,24593.0,1177879,Buy,27-Mar-2023,Market Purchase,NSE
AMEYA,Ameya Precision Engineers Limited,BIPIN SHIRISH PANDE,Promoters,4000.0,134000,Buy,29-Mar-2023,Market Purchase,NSE
SHAKTIPUMP,Shakti Pumps (India) Limited,Vintex Tools Private Limited,Promoter Group,5000.0,2046916,Buy,29-Mar-2023,Market Purchase,NSE
AFFLE,Affle (India) Limited,Himank Rathour,Immediate relative,250.0,236727,Buy,28-Mar-2023,Market Purchase,NSE
PRAKASHSTL,Prakash Steelage Limited,PRAKASH CHHAGANLAL KANUGO,Promoters,10000.0,34280,Buy,29-Mar-2023,Market Purchase,NSE
PRAKASHSTL,Prakash Steelage Limited,PRAKASH CHHAGANLAL KANUGO,Promoters,10000.0,36500,Buy,28-Mar-2023,Market Purchase,NSE
PATELENG,Patel Engineering Limited,Dayanand Garg,Employees/Designated Employees,100000.0,1475000,Buy,22-Mar-2023,Market Purchase,NSE
GREAVESCOT,Greaves Cotton Limited,KARUN CARPETS PRIVATE LIMITED,Promoters,10000.0,1246500,Buy,28-Mar-2023,Market Purchase,NSE
GREAVESCOT,Greaves Cotton Limited,KARUN CARPETS PRIVATE LIMITED,Promoters,20000.0,2496800,Buy,28-Mar-2023,Market Purchase,NSE
GREAVESCOT,Greaves Cotton Limited,KARUN CARPETS PRIVATE LIMITED,Promoters,10000.0,1246500,Buy,28-Mar-2023,Market Purchase,NSE
